accn,organism,loctag,exact,name,compl,pseudo,fail,numFailcats,fail1,fail2,fail3,fail4,fail5,institution,seqYear
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL1140,exact,1149,1,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL1143,exact,1152,1,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL1153,exact,1162,1,0,1,2,0,0,1,0,1,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL1158,exact,1167,1,0,1,2,0,0,1,0,1,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL1978,exact,1983,1,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL2020,exact,2025,1,1,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL2030,exact,2034,0,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL2111,exact,2116,1,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL2137,exact,2142,0,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL2171,exact,2175,1,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL2197,exact,2201,0,0,1,2,1,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL2349,exact,2351,1,1,1,1,0,0,0,0,1,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL2451,exact,2454,1,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL2463A,exact,2467,1,1,1,2,0,0,1,0,1,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL2469,exact,2470,1,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL2724,exact,2725,0,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL3035,exact,3035,1,1,1,2,0,0,1,0,1,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL3096,exact,3095,0,1,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL3286,exact,3285,0,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL3388,non-specific,3389,1,0,1,3,0,0,1,1,1,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL3640,exact,3642,0,1,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL3660,exact,rapA1,0,1,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL3856,exact,3859,1,1,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL3911,non-specific,rapB,0,0,1,1,0,0,0,0,1,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL3970,exact,3973,1,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL4070,exact,4072,0,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL4313,exact,4314,0,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL4345,exact,4346,1,1,1,2,0,0,1,0,1,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL4475,exact,4473,0,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL4479,exact,4477,1,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL4510,exact,4508,0,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM236080,Rhizobium_leguminosarum_bv._viciae_3841,RL4641,exact,4637,0,0,1,1,0,0,1,0,0,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2006
AM260525,Bartonella_tribocorum_CIP_105476,BT_1152,exact,1019,0,0,1,1,0,0,0,0,1,_Schuster_SC_Department_of_Biochemistry_and_Molecular_Biology_Center_for_Comparative_Genomics_and_Bioinformatics_Center_for_Infectious_Disease_Dynamics_310_Wartik_Building_Penn_State_University_University_Park_PA_16802_USA_Phone_+1_814_863-9278_FAX_+1_814_863-6699_,2007
AM260525,Bartonella_tribocorum_CIP_105476,BT_2345,exact,vbh11,0,0,1,1,0,0,0,0,1,_Schuster_SC_Department_of_Biochemistry_and_Molecular_Biology_Center_for_Comparative_Genomics_and_Bioinformatics_Center_for_Infectious_Disease_Dynamics_310_Wartik_Building_Penn_State_University_University_Park_PA_16802_USA_Phone_+1_814_863-9278_FAX_+1_814_863-6699_,2007
AM420293,Saccharopolyspora_erythraea_NRRL_2338,SACE_0856,exact,841,1,0,1,1,0,0,1,0,0,_Oliynyk_M_Department_of_Biochemistry_University_of_Cambridge_80_Tennis_Court_Road_Cambridge_CB21GA_UNITED_KINGDOM_,2007
AM420293,Saccharopolyspora_erythraea_NRRL_2338,SACE_2154,exact,2105,0,0,1,1,0,0,1,0,0,_Oliynyk_M_Department_of_Biochemistry_University_of_Cambridge_80_Tennis_Court_Road_Cambridge_CB21GA_UNITED_KINGDOM_,2007
AM420293,Saccharopolyspora_erythraea_NRRL_2338,SACE_2218,exact,2168,0,0,1,2,1,0,1,0,0,_Oliynyk_M_Department_of_Biochemistry_University_of_Cambridge_80_Tennis_Court_Road_Cambridge_CB21GA_UNITED_KINGDOM_,2007
AM420293,Saccharopolyspora_erythraea_NRRL_2338,SACE_2322,exact,2267,0,0,1,2,1,0,1,0,0,_Oliynyk_M_Department_of_Biochemistry_University_of_Cambridge_80_Tennis_Court_Road_Cambridge_CB21GA_UNITED_KINGDOM_,2007
AM420293,Saccharopolyspora_erythraea_NRRL_2338,SACE_2641,exact,pncA,0,0,1,1,0,0,1,0,0,_Oliynyk_M_Department_of_Biochemistry_University_of_Cambridge_80_Tennis_Court_Road_Cambridge_CB21GA_UNITED_KINGDOM_,2007
AM420293,Saccharopolyspora_erythraea_NRRL_2338,SACE_2839,exact,fprC,0,0,1,1,0,0,1,0,0,_Oliynyk_M_Department_of_Biochemistry_University_of_Cambridge_80_Tennis_Court_Road_Cambridge_CB21GA_UNITED_KINGDOM_,2007
AM420293,Saccharopolyspora_erythraea_NRRL_2338,SACE_5268,exact,5153,1,0,1,1,0,0,0,0,1,_Oliynyk_M_Department_of_Biochemistry_University_of_Cambridge_80_Tennis_Court_Road_Cambridge_CB21GA_UNITED_KINGDOM_,2007
AM420293,Saccharopolyspora_erythraea_NRRL_2338,SACE_6765,exact,6576,1,0,1,1,0,0,0,0,1,_Oliynyk_M_Department_of_Biochemistry_University_of_Cambridge_80_Tennis_Court_Road_Cambridge_CB21GA_UNITED_KINGDOM_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0008,exact,tnC,0,0,1,1,0,0,0,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0010,exact,dnaB1,0,0,1,1,0,0,0,0,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0011,exact,retA,0,0,1,2,0,0,0,1,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0013,exact,phrB,0,0,1,3,1,0,0,1,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0014,exact,tnC,1,0,1,3,1,0,1,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0015,exact,phrB,0,0,1,1,0,0,0,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0022,exact,traA_Ti,1,0,1,1,0,0,0,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0023,exact,traD_Ti,0,0,1,3,1,0,1,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0024,exact,tpr1A1,0,0,1,2,1,0,0,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0028,exact,tchD,0,0,1,2,0,0,0,1,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0029,exact,dnaB2,1,0,1,1,0,0,0,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0030,exact,tchD,1,0,1,3,1,0,0,1,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0031,exact,int,0,0,1,3,1,0,1,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0033,exact,traE,0,0,1,1,0,0,0,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0037,exact,traU,0,0,1,2,1,0,0,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0042,exact,hkp2,1,0,1,1,0,0,0,0,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0043,exact,ank2An,1,0,1,2,1,0,0,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0044,exact,tnC,1,0,1,3,1,0,1,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0045,exact,tchD,0,0,1,1,0,0,0,0,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0046,exact,tnC,0,0,1,1,0,0,0,0,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0049,exact,tnA,0,0,1,1,0,0,0,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0052,exact,tnC,0,0,1,3,1,0,1,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0053,exact,tnC,1,0,1,2,0,0,0,1,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0056,exact,56,1,0,1,2,0,0,0,1,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0058,exact,int,1,0,1,2,0,0,0,1,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0059,exact,tchD,1,0,1,1,0,0,0,0,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0060,exact,retA,1,0,1,2,0,0,0,1,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0061,exact,tnC,1,0,1,3,1,0,1,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0062,exact,int,0,0,1,1,0,0,0,0,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0064,exact,traE,0,0,1,1,0,0,0,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0068,exact,traU,0,0,1,2,1,0,0,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0070,exact,traN,0,0,1,2,0,0,0,1,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0073,exact,tnC,0,0,1,2,1,0,1,0,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0074,exact,traF,0,0,1,2,1,0,0,1,0,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0075,exact,traH,0,0,1,3,1,0,0,1,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
AM494475,Orientia_tsutsugamushi_str._Boryong,OTBS_0076,exact,traG,0,0,1,2,0,0,0,1,1,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007
