accn,organism,sizeNT,numGene,numFail,pcFail,fail1,fail2,fail3,fail4,fail5,fail,GCcontent,baseFreqA,baseFreqT,baseFreqC,baseFreqG,institution,seqYear,reassessed,reasYear,seqMethod,QC
AM420293,Saccharopolyspora_erythraea_NRRL_2338,8212805,7198,8,0.11114198388441232,2,0,6,0,2,1,0.7114596048487697,0.1442305034637983,0.144309891687432,0.3563943135140795,0.35506529133469017,_Oliynyk_M_Department_of_Biochemistry_University_of_Cambridge_80_Tennis_Court_Road_Cambridge_CB21GA_UNITED_KINGDOM_,2007,1,2015,seqMethod,QC
AM494475,Orientia_tsutsugamushi_str._Boryong,2127051,2179,843,38.68747131711795,352,0,234,731,384,1,0.305310497961732,0.3473743694909055,0.3473151325473625,0.15330850083049255,0.15200199713123944,_Cho_NH_Department_of_Microbiology_and_Immunolgy_Seoul_National_University_Coll_Med_28_Yongon-Dong_Chongno-Gu_Seoul_110-799_SOUTH_KOREA_,2007,1,2015,seqMethod,QC
AM711867,Clavibacter_michiganensis_subsp._michiganensis_NCPPB_382,3297891,3008,14,0.4654255319148936,7,0,2,12,2,1,0.7266422692563217,0.13584863781125575,0.13750909293242258,0.3629383142135383,0.3637039550427834,_Linke_B_Center_For_Biotechnology_Bielefeld_University_Universitaetsstrasse_25_33501_Bielefeld_GERMANY_,2007,1,2015,seqMethod,QC
AM743169,Stenotrophomonas_maltophilia_K279a,4851126,4430,20,0.4514672686230248,1,0,9,1,10,1,0.6632404518043852,0.168055622550311,0.1687039256453038,0.33120063259540156,0.3320398192089836,_Crossman_LC_Pathogen_Sequencing_Unit_The_Wellcome_Trust_Sanger_Institute_Hinxton_Cambridge_Cambridgeshire_CB10_1SA_UNITED_KINGDOM_,2008,1,2015,seqMethod,QC
AM889285,Gluconacetobacter_diazotrophicus_PA1_5,3944163,3864,49,1.2681159420289856,9,0,32,20,22,1,0.6643110337985525,0.16850419214418877,0.1671847740572588,0.3333614761864558,0.33094955761209666,_Bertalan_M_Universidade_Federal_do_Rio_de_Janeiro_Instituto_de_Bioquimica_Medica_Nucleo_de_Sequenciamento_Johanna_Dobereiner_CCS_Bloco_D_subssolo_Rio_de_Janeiro_RJ_21491590_BRAZIL_,2007,1,2015,seqMethod,QC
AM902716,Bordetella_petrii,5287950,5035,4,0.07944389275074479,2,0,0,4,0,1,0.6548282415680935,0.17287644550345596,0.17229531292845054,0.3283550336141605,0.326473207953933,_Linke_B_Center_For_Biotechnology_Bielefeld_University_Universitaetsstrasse_25_33501_Bielefeld_GERMANY_,2007,1,2015,seqMethod,QC
AM942759,Proteus_mirabilis,4063606,3685,52,1.4111261872455902,0,0,9,0,46,1,0.3889968663300527,0.3057725084567746,0.30523062521317273,0.19502776597928048,0.1939691003507722,_Sebaihia_M_Sulston_Laboratories_Wellcome_Trust_Sanger_Institute_Wellcome_Trust_Genome_Campus_Hinxton_Cambridge_CB10_1SA_UNITED_KINGDOM_,2008,1,2015,seqMethod,QC
AM999887,Wolbachia_endosymbiont_of_Culex_quinquefasciatus_Pel,1482355,1385,59,4.259927797833935,2,1,14,0,46,1,0.3419255171669404,0.32739121195665005,0.3306832708764095,0.17203638804469915,0.1698891291222413,_Sebaihia_M_Sulston_Laboratories_Wellcome_Trust_Sanger_Institute_Wellcome_Trust_Genome_Campus_Hinxton_Cambridge_CB10_1SA_UNITED_KINGDOM_,2008,1,2015,seqMethod,QC
AP006628,Onion_yellows_phytoplasma_OY-M,853089,752,1,0.13297872340425532,0,1,0,0,0,1,0.2775994063925335,0.3645141362741754,0.3578864573332911,0.13944148851995514,0.13815791787257836,_Contact:Shigetou_Namba_The_University_of_Tokyo_Graduate_School_of_Agricultural_and_Life_Sciences_Department_of_Agricultural_and_Environmental_Biology_Laboratory_of_Plant_Pathology;_1-1-1_Yayoi_Bunkyo-ku_Tokyo_113-8657_Japan_,2003,1,2009,seqMethod,QC
AP006840,Symbiobacterium_thermophilum_IAM_14863,3566135,3337,3,0.08990110878034162,0,0,0,3,0,1,0.686684043088666,0.15691329688864836,0.15640266002268563,0.34373011677909,0.34295392630957605,_Contact:Masahira_Hattori_Graduate_School_of_Frontier_Sciences_University_of_Tokyo;_5-1-5_Kashiwanoha_Kashiwa_Chiba_277-8561_Japan_,2004,1,-200,seqMethod,QC
AP007255,Magnetospirillum_magneticum_AMB-1,4967115,4559,11,0.24128098267163853,0,11,0,0,0,1,0.6509394286220471,0.17512137327201002,0.1739391981059428,0.326406777374794,0.32453265124725317,_Contact:Tadashi_Matsunaga_Tokyo_University_of_Agriculture_and_Technology_Department_of_Biotechnology;_Naka-cho_2-24-16_Koganei_Tokyo_184-8588_Japan_,2005,1,-200,seqMethod,QC
AP008230,Desulfitobacterium_hafniense_Y51,5727534,5060,2,0.039525691699604744,0,0,0,2,0,1,0.4735989345501921,0.2611053902080721,0.2652956752417358,0.24610940764384812,0.227489526906344,_Contact:Masayuki_Inui_Research_Institute_of_Innovative_Technology_for_the_Earth_(RITE)_Microbiology_research_group;_9-2_Kizugawadai_Kizu-cho_Soraku-gun_Kyoto_619-0292_Japan_,2006,1,-200,seqMethod,QC
AP008955,Brevibacillus_brevis_NBRC_100599,6296436,5949,2,0.03361909564632712,0,0,0,0,2,1,0.472735528479921,0.26339805566196495,0.26386641585811405,0.2364745706936432,0.23626095778627781,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_(NITE)_NITE_Genome_Analysis_Center_(NGAC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2009,1,2009,seqMethod,QC
AP008971,Finegoldia_magna_ATCC_29328,1797577,1631,0,0.0,0,0,0,0,0,0,0.32312774362377805,0.3348774489215205,0.3419948074547015,0.1636063434278476,0.15952140019593042,_Contact:Masahira_Hattori_University_of_Tokyo_Graduate_School_of_Frontier_Sciences;_5-1-5_Kashiwanoha_Kashiwa_Chiba_277-8561_Japan_U_:http://wwwcbku-tokyoacjp/hattorilab/_,2008,1,-200,seqMethod,QC
AP009152,Kocuria_rhizophila_DC2201,2697540,2356,2,0.08488964346349745,0,0,0,1,1,1,0.7116380109284756,0.14390073919200458,0.14446124987951986,0.3555087227622204,0.35612928816625516,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Genome_Analysis_Center_(NGAC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_URL____:http://wwwbionitegojp/_,2008,1,2009,seqMethod,QC
AP009153,Gemmatimonas_aurantiaca_T-27,4636964,3935,0,0.0,0,0,0,0,0,0,0.6427436141406317,0.17942666796636764,0.17782971789300067,0.32191062945496235,0.32083298468566934,_Contact:Director-General_Department_of_Biotechnology_National_Institure_of_Technology_and_Evaluation_NITE_Genome_Analysis_Center_(NGAC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_URL____:http://wwwbionitegojp/_,2009,1,2014,seqMethod,QC
AP009178,Nitratiruptor_sp._SB155-2,1877931,1857,12,0.6462035541195477,7,0,1,10,3,1,0.3968862540742977,0.3012426974154003,0.30187104851030205,0.19891412410786125,0.19797212996643646,_Contact:Yoshihiro_Takaki_Japan_Agency_for_Maine-Earth_Science_and_Technology_Extremobiosphere_Research_Center;_2-15_Natsushima-cho_Yokosuka_Kanagawa_237-0026_Japan_U_:http://wwwjamstecgojp_,2007,1,2009,seqMethod,QC
AP009179,Sulfurovum_sp._NBC37-1,2562277,2466,18,0.7299270072992701,11,0,0,15,5,1,0.43871486182017005,0.2796828758170955,0.2816022623627344,0.21933030659838884,0.21938455522178124,_Contact:Yoshihiro_Takaki_Japan_Agency_for_Maine-Earth_Science_and_Technology_Extremobiosphere_Research_Center;_2-15_Natsushima-cho_Yokosuka_Kanagawa_237-0026_Japan_U_:http://wwwjamstecgojp_,2007,1,2009,seqMethod,QC
AP009380,Porphyromonas_gingivalis_ATCC_33277,2354886,2090,0,0.0,0,0,0,0,0,0,0.48359283634112227,0.25873779027944455,0.25766937337943324,0.2424486790443359,0.24114415729678634,_Contact:Masahira_Hattori_University_of_Tokyo_Graduate_School_of_Frontier_Sciences;_5-1-5_Kashiwanoha_Kashiwa_Chiba_277-8562_Japan_U_:http://wwwcbku-tokyoacjp/hattorilab/_,2008,1,2011,seqMethod,QC
AP009384,Azorhizobium_caulinodans_ORS_571,5369772,4717,0,0.0,0,0,0,0,0,0,0.6731902211118088,0.16335349061375418,0.16345628827443698,0.3373102247171761,0.3358799963946328,_Contact:Hiroshi_Oyaizu_University_of_Tokyo_Biotechnology_Research_Center;_Yayoi_1-1-1_Bunkyo-ku_Tokyo_113-8657_Japan_,2007,1,2013,seqMethod,QC
AP009389,Pelotomaculum_thermopropionicum_SI,3025375,2920,1,0.03424657534246575,0,0,0,0,1,1,0.5296110399537248,0.2366936330206999,0.23369532702557536,0.2638347312316655,0.26577630872205926,_Contact:Kazuya_Watanabe_Marine_Biotechnology_Institute_Co_Ltd;_3-75-1_Heita_Kamaishi_Iwate_026-0001_Japan_,2007,1,2012,seqMethod,QC
AP009484,Macrococcus_caseolyticus_JCSC5402,2102324,1959,0,0.0,0,0,0,0,0,0,0.36876856279051184,0.31699776057353674,0.3142336766359515,0.18286144286037737,0.18590711993013445,_Contact:Tadashi_Baba_Juntendo_University_School_of_Medicine_Department_of_Bacteriology;_2-1-1_Hongo_Bunkyo_Tokyo_113-8421_Japan_,2009,1,2012,seqMethod,QC
AP009510,uncultured_Termite_group_1_bacterium_phylotype_Rs-D17,1125857,761,0,0.0,0,0,0,0,0,0,0.35207402005760946,0.32861100477236455,0.31931497517002605,0.17186108004835426,0.18021294000925517,_Contact:Yuichi_Hongoh_RIKEN_Ecomolecular_Biorecycling_Science_Research_Team;_Hirosawa_2-1_Wako_Saitama_351-0198_Japan_,2008,1,-200,seqMethod,QC
AP009552,Microcystis_aeruginosa_NIES-843,5842795,6311,2,0.0316906987799081,0,0,0,0,2,1,0.42330631144854475,0.2885868835035287,0.2881068050479266,0.21180804734720285,0.2114982641013419,_Contact:Shusei_Sato_Kazusa_DNA_Research_Institute_Department_of_Plant_Genome_Research;_2-6-7_Kazusa-kamatari_Kisarazu_Chiba_292-0812_Japan_URL____:http://wwwkazusaorjp/rhizobase/_,2008,1,2010,seqMethod,QC
AP010904,Desulfovibrio_magneticus_RS-1,5248049,4629,0,0.0,0,0,0,0,0,0,0.6276942155075153,0.18610306420538375,0.18620272028710097,0.31388826590605384,0.3138059496014614,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_(NBIC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2009,1,2009,seqMethod,QC
AP010946,Azospirillum_sp._B510,3311395,2893,0,0.0,0,0,0,0,0,0,0.6776023397993897,0.16174240765598788,0.16065525254462243,0.3386213363250231,0.33898100347436655,_Contact:Shusei_Sato_Kazusa_DNA_Research_Institute_Department_of_Plant_Genome_Research;_2-6-7_Kazusa-kamatari_Kisarazu_Chiba_292-0812_Japan_URL____:http://genomekazusaorjp/rhizobase/_,2010,1,2010,seqMethod,QC
AP010953,Escherichia_coli_O26:H11_str._11368,5697240,5609,7,0.12479942948832234,1,0,0,3,3,1,0.5068482282649143,0.24661169267926225,0.2465400790558235,0.2534199015663725,0.25342832669854176,_Contact:Masahira_Hattori_University_of_Tokyo_Graduate_School_of_Frontier_Sciences;_5-1-5_Kashiwanoha_Kashiwa_Chiba_277-8562_Japan_U_:http://wwwcbku-tokyoacjp/hattorilab/_,2009,1,2010,seqMethod,QC
AP010968,Kitasatospora_setae_KM-6054,8783278,7569,0,0.0,0,0,0,0,0,0,0.7419750348332366,0.12908916238333798,0.1289358027834255,0.3724845097695872,0.3694905250636494,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Genome_Analysis_Center_(NGAC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_URL____:http://wwwbionitegojp/_,2010,1,2012,seqMethod,QC
AP011112,Hydrogenobacter_thermophilus_TK-6,1743135,1894,0,0.0,0,0,0,0,0,0,0.4400026389235487,0.2781006634598009,0.2818966976166505,0.22093756364251765,0.21906507528103103,_Contact:Hiroyuki_Arai_The_University_of_Tokyo_Department_of_Biotechnology;_Yayoi_1-1-1_Bunkyo-ku_Tokyo_113-8657_Japan_,2010,1,2010,seqMethod,QC
AP011121,Acetobacter_pasteurianus_IFO_3283-01,2907495,2628,0,0.0,0,0,0,0,0,0,0.5303682379505381,0.2351546606271034,0.23447710142235842,0.2673400986072203,0.26302813934331787,_Contact:Yoshinao_Azuma_Yamaguchi_University_School_of_Medicine_Department_of_Microbiology_and_Immunology;_Minami-Kogushi_1-1-1_Ube_Yamaguchi_755-8505_Japan_U_:http://wwwbionitegojp/dogan/Top_,2009,1,2014,seqMethod,QC
AP011529,Deferribacter_desulfuricans_SSM1,2234389,2134,20,0.937207122774133,8,0,0,11,9,1,0.31118260965301925,0.3436375671380409,0.3451798232089399,0.15534806159536232,0.15583454805765692,_Contact:Yoshihiro_Takaki_Japan_Agency_for_Maine-Earth_Science_and_Technology_Extremobiosphere_Research_Program;_2-15_Natsushima-cho_Yokosuka_Kanagawa_237-0026_Japan_U_:http://wwwjamstecgojp_,2010,1,2013,seqMethod,QC
AP011615,Arthrospira_platensis_NIES-39,6692865,6630,6,0.09049773755656108,4,3,4,0,3,1,0.44273655601898443,0.27831937443830107,0.2789440695427145,0.22213013410549892,0.22060642191348548,_Contact:Takatomo_Fujisawa_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2010,1,2010,seqMethod,QC
AP012027,Erysipelothrix_rhusiopathiae_str._Fujisawa,1787941,1704,7,0.41079812206572774,4,0,0,7,0,1,0.36556239831180115,0.3161575242136066,0.3182800774745923,0.1832152179518228,0.18234718035997832,_Contact:Yoshihiro_Shimoji_National_Institute_of_Animal_Health;_Kannondai_3-1-5_Tsukuba_Ibaraki_305-0856_Japan_,2011,1,2012,seqMethod,QC
AP012029,Anaerolinea_thermophila_UNI-1,3532378,3177,3,0.09442870632672333,0,0,0,3,0,1,0.5384967293987224,0.2314820214597645,0.23002124914151317,0.2695849651424621,0.26891176425626023,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_(NBIC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2011,1,2011,seqMethod,QC
AP012035,Acidiphilium_multivorum_AIU301,3749411,3449,0,0.0,0,0,0,0,0,0,0.6757917443566469,0.161505100401103,0.16270315524225004,0.3398685820252834,0.3359231623313635,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_(NBIC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2011,1,2016,seqMethod,QC
AP012044,Oscillibacter_valericigenes_Sjm18-20,4410036,4656,0,0.0,0,0,0,0,0,0,0.5332115202687688,0.23220513392634437,0.23458334580488685,0.2679622116463448,0.26524930862242396,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_(NBIC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2011,1,2013,seqMethod,QC
AP012046,Tetragenococcus_halophilus_NBRC_12172,2562720,2555,0,0.0,0,0,0,0,0,0,0.36041081351064497,0.32023904289192734,0.31935014359742775,0.17859813011175626,0.18181268339888867,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_(NBIC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2011,1,2011,seqMethod,QC
AP012050,Amphibacillus_xylanus_NBRC_15112,2569486,2411,0,0.0,0,0,0,0,0,0,0.3571827205908108,0.32338607799380886,0.31943120141538034,0.17587642042027082,0.18130630017053995,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_(NBIC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2012,1,2012,seqMethod,QC
AP012051,Caldisericum_exile_AZM16c01,1558103,1582,0,0.0,0,0,0,0,0,0,0.3537487573029511,0.3213491020811846,0.3249021406158643,0.1772251256816783,0.1765236316212728,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_(NBIC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2012,1,2012,seqMethod,QC
AP012052,Microbacterium_testaceum_StLB037,3982034,3676,0,0.0,0,0,0,0,0,0,0.7027840545811512,0.1483141530182816,0.14890179240056714,0.35225138710518294,0.3505326674759683,_Contact:Tomohiro_Morohoshi_Utsunomiya_University_Department_of_Material_and_Environmental_Chemistry;_Yoto_7-1-2_Utsunomiya_Tochigi_321-8585_Japan_,2011,1,2011,seqMethod,QC
AP012057,Ilumatobacter_coccineus_YM16-304,4830181,4291,3,0.06991377301328362,0,0,0,3,0,1,0.6729244721885164,0.16422510874851273,0.16285041906297093,0.3356547094197919,0.3372697627687244,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_(NBIC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2013,1,2013,seqMethod,QC
AP012157,Solibacillus_silvestris_StLB046,3969327,3810,0,0.0,0,0,0,0,0,0,0.3860316874875766,0.30772067909748935,0.30624763341493405,0.19238450246099653,0.19364718502658007,_Contact:Tomohiro_Morohoshi_Utsunomiya_University_Department_of_Material_and_Environmental_Chemistry;_Yoto_7-1-2_Utsunomiya_Tochigi_321-8585_Japan_,2011,1,2012,seqMethod,QC
AP012200,Melissococcus_plutonius_ATCC_35311,1891014,1773,31,1.7484489565707841,20,0,0,31,0,1,0.31427530414899096,0.3457462504243755,0.3399784454266335,0.15365671539184797,0.160618588757143,_Contact:Tohru_Akiyama_National_Center_for_Global_Health_and_Medicine_Department_of_Infectious_Diseases;_1-21-1Toyama_Shinju-ku_Tokyo_162-8655_Japan_,2011,1,2012,seqMethod,QC
AP012204,Microlunatus_phosphovorus_NM-1,5683123,5359,1,0.01866019779809666,0,0,0,1,0,1,0.672675393441247,0.16374500428725544,0.16357960227149757,0.336002933598305,0.336672459842942,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_(NBIC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2011,1,2013,seqMethod,QC
AP012224,Pseudogulbenkiania_sp._NH8B,4332995,4015,1,0.024906600249066,0,0,0,1,0,1,0.6435657091688312,0.17804174710563941,0.17839254372552935,0.32161472607284336,0.32195098309598785,_Contact:Satoshi_Ishii_Hokkaido_University_Division_of_Environmental_Engineering;_Kita_13_Nishi_8_Kita-ku_Sapporo_Hokkaido_060-8628_Japan_,2011,1,2011,seqMethod,QC
AP012273,Thiolapillus_brandeum,3129662,2862,48,1.6771488469601679,11,0,1,15,33,1,0.5627233867427217,0.2186654661110369,0.21861114714624136,0.2805245422668646,0.28219884447585714,_Contact:Yoshihiro_Takaki_Japan_Agency_for_Maine-Earth_Science_and_Technology_Extremobiosphere_Research_Program;_2-15_Natsushima-cho_Yokosuka_Kanagawa_237-0026_Japan_U_:http://wwwjamstecgojp_,2014,1,2015,seqMethod,QC
AP012292,Selenomonas_ruminantium_subsp._lactilytica_TAM6421,3003680,2826,0,0.0,0,0,0,0,0,0,0.5067813482128589,0.24750106535982527,0.24571758642731584,0.2518201006765035,0.2549612475363554,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Bioresource_Information_Center_(NBIC)_Department_of_Biotechnology;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2012,1,2012,seqMethod,QC
AP012304,Azoarcus_sp._KH32C,5081166,4531,0,0.0,0,0,0,0,0,0,0.651013369765916,0.1745237215237605,0.17446290871032358,0.3241531569722383,0.32686021279367766,_Contact:Tomoyasu_Nishizawa_The_University_of_Tokyo_Division_of_Applied_Biological_Chemistry_Graduate_School_of_Agricultural_and_Life_Sciences;_1-1-1_Yayoi_Bunkyo-ku_Tokyo_113-8657_Japan_,2011,1,2016,seqMethod,QC
AP012320,Rubrivivax_gelatinosus_IL144,5043253,4706,1,0.021249468763280918,0,0,0,1,0,1,0.7124314405801176,0.14394023064081854,0.14362832877906384,0.3558750671441627,0.3565563734359549,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Biological_Resource_Center;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2012,1,2012,seqMethod,QC
AP012331,Bifidobacterium_scardovii_JCM_12489_=_DSM_13734,3158347,2572,0,0.0,0,0,0,0,0,0,0.6463092877381744,0.1770381785155336,0.17665253374629197,0.3234014501889754,0.322907837549199,_Contact:Masahira_Hattori_University_of_Tokyo_Graduate_School_of_Frontier_Sciences;_5-1-5_Kashiwanoha_Kashiwa_Chiba_277-8562_Japan_U_:http://wwwcbku-tokyoacjp/hattorilab/_,2015,1,2015,seqMethod,QC
AP012333,Parascardovia_denticolens_DSM_10105_=_JCM_12538,1890857,1548,0,0.0,0,0,0,0,0,0,0.5831297660267276,0.20964991006723407,0.20722032390603837,0.29075493281617804,0.2923748332105495,_Contact:Masahira_Hattori_University_of_Tokyo_Graduate_School_of_Frontier_Sciences;_5-1-5_Kashiwanoha_Kashiwa_Chiba_277-8562_Japan_URL_:http://wwwcbku-tokyoacjp/hattorilab/_,2015,1,2015,seqMethod,QC
AP012334,Scardovia_inopinata_JCM_12537,1797862,1445,0,0.0,0,0,0,0,0,0,0.4863343237690101,0.2580531764951926,0.2556124997357973,0.24481078080520086,0.24152354296380923,_Contact:Masahira_Hattori_University_of_Tokyo_Graduate_School_of_Frontier_Sciences;_5-1-5_Kashiwanoha_Kashiwa_Chiba_277-8562_Japan_URL_:http://wwwcbku-tokyoacjp/hattorilab/_,2015,1,2015,seqMethod,QC
AP012337,Caldilinea_aerophila_DSM_14535_=_NBRC_104270,5144873,4119,0,0.0,0,0,0,0,0,0,0.5876714546695322,0.20781892964121756,0.20450961568925025,0.2945654829574996,0.29310597171203256,_Contact:Director-General_Department_of_Biotechnology_National_Institute_of_Technology_and_Evaluation_NITE_Biological_Resource_Center;_2-49-10_Nishihara_Shibuya-ku_Tokyo_151-0066_Japan_U_:http://wwwbionitegojp/_,2012,1,2012,seqMethod,QC
